x_bin,y_bin,batch_start_t
0,74,34051772
0,75,34051772
1,74,34051772
1,75,34051772
2,75,34051772
2,76,34051772
3,75,34051772
3,76,34051772
0,75,34060007
1,75,34060007
2,75,34060007
2,76,34060007
3,75,34060007
3,76,34060007
4,75,34060007
4,76,34060007
5,75,34060007
5,76,34060007
5,77,34060007
6,76,34060007
6,77,34060007
7,76,34060007
7,77,34060007
8,77,34060007
5,76,34070018
5,77,34070018
6,76,34070018
6,77,34070018
7,76,34070018
7,77,34070018
8,76,34070018
8,77,34070018
9,77,34070018
9,78,34070018
10,77,34070018
10,78,34070018
11,77,34070018
11,78,34070018
12,78,34070018
10,78,34080036
11,78,34080036
12,78,34080036
13,78,34080036
13,79,34080036
14,78,34080036
14,79,34080036
15,78,34080036
15,79,34080036
16,79,34080036
17,79,34080036
15,79,34090022
16,79,34090022
17,79,34090022
17,80,34090022
18,79,34090022
18,80,34090022
19,79,34090022
19,80,34090022
20,80,34090022
20,81,34090022
21,80,34090022
21,81,34090022
19,80,34100019
20,80,34100019
20,81,34100019
21,80,34100019
21,81,34100019
22,80,34100019
22,81,34100019
23,81,34100019
23,82,34100019
24,81,34100019
24,82,34100019
25,81,34100019
25,82,34100019
26,82,34100019
23,82,34110003
24,81,34110003
24,82,34110003
25,81,34110003
25,82,34110003
26,82,34110003
26,83,34110003
27,82,34110003
27,83,34110003
28,82,34110003
28,83,34110003
29,82,34110003
29,83,34110003
30,83,34110003
30,84,34110003
28,83,34120007
29,83,34120007
30,83,34120007
30,84,34120007
31,83,34120007
31,84,34120007
32,83,34120007
32,84,34120007
33,84,34120007
33,85,34120007
34,84,34120007
34,85,34120007
35,84,34120007
35,85,34120007
33,84,34130008
33,85,34130008
34,84,34130008
34,85,34130008
35,84,34130008
35,85,34130008
35,86,34130008
36,85,34130008
36,86,34130008
37,85,34130008
37,86,34130008
38,85,34130008
38,86,34130008
39,86,34130008
38,86,34140035
39,86,34140035
39,87,34140035
40,86,34140035
40,87,34140035
41,86,34140035
41,87,34140035
42,87,34140035
42,88,34140035
43,87,34140035
43,88,34140035
44,87,34140035
44,88,34140035
41,87,34150000
42,87,34150000
42,88,34150000
43,87,34150000
43,88,34150000
44,87,34150000
44,88,34150000
45,87,34150000
45,88,34150000
45,89,34150000
46,88,34150000
46,89,34150000
47,88,34150000
47,89,34150000
48,88,34150000
48,89,34150000
49,89,34150000
46,88,34160008
46,89,34160008
47,88,34160008
47,89,34160008
48,89,34160008
48,90,34160008
49,89,34160008
49,90,34160008
50,89,34160008
50,90,34160008
51,89,34160008
51,90,34160008
51,91,34160008
52,90,34160008
52,91,34160008
53,90,34160008
53,91,34160008
51,90,34170003
51,91,34170003
52,90,34170003
52,91,34170003
53,90,34170003
53,91,34170003
54,91,34170003
54,92,34170003
55,91,34170003
55,92,34170003
56,91,34170003
56,92,34170003
57,92,34170003
58,92,34170003
55,92,34180015
56,92,34180015
57,92,34180015
57,93,34180015
58,92,34180015
58,93,34180015
59,92,34180015
59,93,34180015
60,93,34180015
60,94,34180015
61,93,34180015
61,94,34180015
62,93,34180015
62,94,34180015
60,93,34190004
61,93,34190004
61,94,34190004
62,93,34190004
62,94,34190004
63,94,34190004
63,95,34190004
64,94,34190004
64,95,34190004
65,94,34190004
65,95,34190004
66,95,34190004
66,96,34190004
67,95,34190004
67,96,34190004
64,95,34200048
65,94,34200048
65,95,34200048
65,96,34200048
66,95,34200048
66,96,34200048
67,95,34200048
67,96,34200048
68,95,34200048
68,96,34200048
69,96,34200048
69,97,34200048
70,96,34200048
70,97,34200048
71,97,34200048
0,48,38770757
0,47,38780015
0,48,38780015
1,47,38780015
1,48,38780015
1,49,38780015
2,48,38780015
2,49,38780015
3,48,38780015
3,49,38780015
4,48,38780015
4,49,38780015
2,48,38790008
3,48,38790008
3,49,38790008
4,48,38790008
4,49,38790008
5,48,38790008
5,49,38790008
6,48,38790008
6,49,38790008
7,48,38790008
7,49,38790008
8,48,38790008
8,49,38790008
9,49,38790008
6,48,38800011
7,48,38800011
7,49,38800011
8,48,38800011
8,49,38800011
9,48,38800011
9,49,38800011
10,48,38800011
10,49,38800011
10,50,38800011
11,49,38800011
11,50,38800011
12,49,38800011
12,50,38800011
13,49,38800011
13,50,38800011
11,49,38810016
12,49,38810016
12,50,38810016
13,49,38810016
13,50,38810016
14,49,38810016
14,50,38810016
15,49,38810016
15,50,38810016
16,49,38810016
16,50,38810016
16,51,38810016
17,50,38810016
17,51,38810016
18,50,38810016
18,51,38810016
15,50,38820024
16,50,38820024
17,50,38820024
17,51,38820024
18,50,38820024
18,51,38820024
19,50,38820024
19,51,38820024
20,50,38820024
20,51,38820024
21,50,38820024
21,51,38820024
22,51,38820024
20,50,38830024
20,51,38830024
21,50,38830024
21,51,38830024
22,50,38830024
22,51,38830024
23,50,38830024
23,51,38830024
23,52,38830024
24,51,38830024
24,52,38830024
25,51,38830024
25,52,38830024
26,51,38830024
26,52,38830024
27,52,38830024
24,51,38840012
25,51,38840012
25,52,38840012
26,51,38840012
26,52,38840012
27,51,38840012
27,52,38840012
27,53,38840012
28,51,38840012
28,52,38840012
28,53,38840012
29,51,38840012
29,52,38840012
29,53,38840012
30,52,38840012
30,53,38840012
31,52,38840012
31,53,38840012
28,52,38850014
29,52,38850014
30,52,38850014
30,53,38850014
31,52,38850014
31,53,38850014
32,52,38850014
32,53,38850014
33,52,38850014
33,53,38850014
33,54,38850014
34,53,38850014
34,54,38850014
35,53,38850014
35,54,38850014
33,53,38860006
34,53,38860006
34,54,38860006
35,53,38860006
35,54,38860006
36,53,38860006
36,54,38860006
37,53,38860006
37,54,38860006
38,53,38860006
38,54,38860006
38,55,38860006
39,54,38860006
39,55,38860006
40,54,38860006
40,55,38860006
37,54,38870024
38,54,38870024
39,54,38870024
39,55,38870024
40,54,38870024
40,55,38870024
41,54,38870024
41,55,38870024
42,54,38870024
42,55,38870024
42,56,38870024
43,55,38870024
43,56,38870024
44,55,38870024
44,56,38870024
41,54,38880004
41,55,38880004
42,54,38880004
42,55,38880004
43,54,38880004
43,55,38880004
43,56,38880004
44,55,38880004
44,56,38880004
45,55,38880004
45,56,38880004
46,56,38880004
47,56,38880004
48,56,38880004
48,57,38880004
46,56,38890007
47,56,38890007
48,56,38890007
48,57,38890007
49,56,38890007
49,57,38890007
50,56,38890007
50,57,38890007
50,58,38890007
51,56,38890007
51,57,38890007
51,58,38890007
52,57,38890007
52,58,38890007
53,58,38890007
50,56,38900008
50,57,38900008
51,56,38900008
51,57,38900008
52,57,38900008
52,58,38900008
53,57,38900008
53,58,38900008
54,57,38900008
54,58,38900008
55,58,38900008
55,59,38900008
56,58,38900008
56,59,38900008
57,58,38900008
57,59,38900008
55,58,38910002
56,58,38910002
56,59,38910002
57,58,38910002
57,59,38910002
58,58,38910002
58,59,38910002
58,60,38910002
59,59,38910002
59,60,38910002
60,59,38910002
60,60,38910002
61,59,38910002
61,60,38910002
59,59,38920002
59,60,38920002
60,59,38920002
60,60,38920002
61,59,38920002
61,60,38920002
62,59,38920002
62,60,38920002
62,61,38920002
63,60,38920002
63,61,38920002
64,60,38920002
64,61,38920002
65,60,38920002
65,61,38920002
65,62,38920002
66,61,38920002
66,62,38920002
63,60,38930011
64,60,38930011
64,61,38930011
65,60,38930011
65,61,38930011
65,62,38930011
66,60,38930011
66,61,38930011
66,62,38930011
67,61,38930011
67,62,38930011
68,61,38930011
68,62,38930011
68,63,38930011
69,62,38930011
69,63,38930011
70,62,38930011
70,63,38930011
67,61,38940001
67,62,38940001
68,61,38940001
68,62,38940001
69,61,38940001
69,62,38940001
69,63,38940001
70,62,38940001
70,63,38940001
71,62,38940001
71,63,38940001
71,64,38940001
72,62,38940001
72,63,38940001
72,64,38940001
73,63,38940001
73,64,38940001
74,63,38940001
74,64,38940001
71,62,38950004
71,63,38950004
72,63,38950004
73,63,38950004
73,64,38950004
74,63,38950004
74,64,38950004
75,63,38950004
75,64,38950004
75,65,38950004
76,64,38950004
76,65,38950004
77,64,38950004
77,65,38950004
78,64,38950004
78,65,38950004
78,66,38950004
79,65,38950004
76,64,38960002
76,65,38960002
77,64,38960002
77,65,38960002
78,64,38960002
78,65,38960002
79,65,38960002
79,66,38960002
80,65,38960002
80,66,38960002
81,65,38960002
81,66,38960002
81,67,38960002
82,66,38960002
82,67,38960002
83,66,38960002
83,67,38960002
80,65,38970008
80,66,38970008
81,65,38970008
81,66,38970008
81,67,38970008
82,66,38970008
82,67,38970008
83,66,38970008
83,67,38970008
84,66,38970008
84,67,38970008
84,68,38970008
85,67,38970008
85,68,38970008
86,67,38970008
86,68,38970008
87,67,38970008
87,68,38970008
87,69,38970008
84,67,38980008
84,68,38980008
85,67,38980008
85,68,38980008
86,67,38980008
86,68,38980008
87,67,38980008
87,68,38980008
87,69,38980008
88,68,38980008
88,69,38980008
89,68,38980008
89,69,38980008
90,69,38980008
90,70,38980008
91,69,38980008
91,70,38980008
89,68,38990001
89,69,38990001
90,69,38990001
90,70,38990001
91,69,38990001
91,70,38990001
92,69,38990001
92,70,38990001
93,70,38990001
93,71,38990001
94,70,38990001
94,71,38990001
95,70,38990001
95,71,38990001
95,72,38990001
96,71,38990001
96,72,38990001
