x_bin,y_bin,batch_start_t
69,0,4890000
69,1,4890000
69,2,4890000
71,0,4890000
74,0,4890000
69,0,5520000
70,0,5520000
73,1,5520000
94,6,5520000
69,0,5530000
70,0,5530000
71,0,5530000
72,0,5530000
73,0,5530000
74,0,5530000
94,6,5530000
69,0,5540000
69,1,5540000
70,0,5540000
70,2,5540000
71,0,5540000
72,0,5540000
72,1,5540000
73,0,5540000
73,1,5540000
74,0,5540000
74,1,5540000
94,6,5540000
38,75,5550000
69,0,5550000
69,1,5550000
69,2,5550000
69,3,5550000
70,0,5550000
70,1,5550000
70,2,5550000
71,0,5550000
71,1,5550000
72,0,5550000
72,1,5550000
73,0,5550000
73,1,5550000
74,0,5550000
74,1,5550000
75,0,5550000
75,1,5550000
94,5,5550000
28,60,5560000
38,74,5560000
69,0,5560000
69,1,5560000
70,0,5560000
70,1,5560000
71,0,5560000
72,0,5560000
73,0,5560000
74,0,5560000
75,0,5560000
90,5,5560000
94,5,5560000
97,3,5560000
70,0,5570000
70,1,5570000
72,0,5570000
73,0,5570000
70,0,5580000
70,1,5580000
70,0,5590000
89,17,7730002
89,18,7730002
89,20,7730002
89,21,7730002
90,17,7730002
91,17,7730002
91,20,7730002
92,8,7730002
92,16,7730002
92,17,7730002
92,18,7730002
92,19,7730002
92,20,7730002
92,21,7730002
92,22,7730002
93,8,7730002
93,16,7730002
93,17,7730002
93,18,7730002
93,19,7730002
93,20,7730002
93,21,7730002
93,22,7730002
94,8,7730002
94,10,7730002
94,15,7730002
94,16,7730002
94,17,7730002
94,18,7730002
94,19,7730002
94,20,7730002
94,21,7730002
94,22,7730002
94,78,7730002
94,79,7730002
94,82,7730002
94,83,7730002
94,87,7730002
95,8,7730002
95,16,7730002
95,17,7730002
95,18,7730002
95,19,7730002
95,20,7730002
95,21,7730002
95,22,7730002
95,75,7730002
95,78,7730002
95,79,7730002
95,83,7730002
96,8,7730002
96,11,7730002
96,15,7730002
96,16,7730002
96,17,7730002
96,18,7730002
96,19,7730002
96,20,7730002
96,21,7730002
96,22,7730002
96,79,7730002
96,83,7730002
96,87,7730002
97,5,7730002
97,6,7730002
97,7,7730002
97,8,7730002
97,10,7730002
97,11,7730002
97,15,7730002
97,16,7730002
97,17,7730002
97,18,7730002
97,19,7730002
97,20,7730002
97,21,7730002
97,22,7730002
97,77,7730002
97,78,7730002
97,79,7730002
97,81,7730002
97,82,7730002
97,83,7730002
97,86,7730002
97,87,7730002
98,6,7730002
98,7,7730002
98,8,7730002
98,11,7730002
98,12,7730002
98,15,7730002
98,16,7730002
98,17,7730002
98,18,7730002
98,19,7730002
98,20,7730002
98,21,7730002
98,22,7730002
98,78,7730002
98,79,7730002
98,81,7730002
98,82,7730002
98,83,7730002
98,87,7730002
99,2,7730002
99,3,7730002
99,5,7730002
99,6,7730002
99,7,7730002
99,8,7730002
99,10,7730002
99,11,7730002
99,15,7730002
99,16,7730002
99,17,7730002
99,18,7730002
99,19,7730002
99,20,7730002
99,21,7730002
99,22,7730002
99,79,7730002
99,81,7730002
99,82,7730002
99,83,7730002
99,86,7730002
99,87,7730002
61,18,7740000
61,20,7740000
61,21,7740000
63,20,7740000
64,17,7740000
64,18,7740000
64,20,7740000
64,21,7740000
64,22,7740000
65,18,7740000
65,20,7740000
66,17,7740000
66,18,7740000
66,19,7740000
66,20,7740000
66,21,7740000
66,22,7740000
67,18,7740000
67,20,7740000
67,21,7740000
67,22,7740000
68,18,7740000
68,20,7740000
69,17,7740000
69,18,7740000
69,20,7740000
69,21,7740000
69,22,7740000
69,27,7740000
69,29,7740000
69,30,7740000
69,31,7740000
69,34,7740000
69,35,7740000
69,36,7740000
70,17,7740000
70,18,7740000
70,20,7740000
70,21,7740000
70,22,7740000
70,29,7740000
70,30,7740000
70,31,7740000
70,32,7740000
71,17,7740000
71,18,7740000
71,20,7740000
71,21,7740000
71,27,7740000
71,29,7740000
71,30,7740000
71,31,7740000
71,32,7740000
71,34,7740000
71,36,7740000
72,17,7740000
72,18,7740000
72,20,7740000
72,21,7740000
72,22,7740000
72,26,7740000
72,29,7740000
72,32,7740000
72,54,7740000
72,55,7740000
72,56,7740000
72,59,7740000
73,17,7740000
73,18,7740000
73,20,7740000
73,21,7740000
73,22,7740000
73,26,7740000
73,36,7740000
73,37,7740000
73,68,7740000
73,69,7740000
73,70,7740000
73,72,7740000
73,73,7740000
73,75,7740000
74,1,7740000
74,17,7740000
74,18,7740000
74,19,7740000
74,20,7740000
74,21,7740000
74,22,7740000
74,23,7740000
74,31,7740000
74,32,7740000
74,34,7740000
74,35,7740000
74,36,7740000
75,17,7740000
75,18,7740000
75,20,7740000
75,22,7740000
75,34,7740000
76,17,7740000
76,18,7740000
76,19,7740000
76,20,7740000
76,21,7740000
76,22,7740000
76,34,7740000
76,35,7740000
76,79,7740000
77,35,7740000
78,17,7740000
79,17,7740000
79,22,7740000
38,21,7750000
41,18,7750000
41,20,7750000
41,21,7750000
41,22,7750000
42,20,7750000
43,10,7750000
43,18,7750000
43,20,7750000
43,21,7750000
43,22,7750000
44,18,7750000
44,20,7750000
44,21,7750000
45,18,7750000
45,20,7750000
46,10,7750000
46,18,7750000
46,19,7750000
46,20,7750000
46,21,7750000
46,22,7750000
46,24,7750000
46,32,7750000
46,34,7750000
46,89,7750000
47,18,7750000
47,20,7750000
47,21,7750000
47,22,7750000
47,36,7750000
47,37,7750000
47,39,7750000
48,18,7750000
48,20,7750000
48,21,7750000
48,22,7750000
48,36,7750000
48,37,7750000
48,38,7750000
48,39,7750000
48,40,7750000
48,81,7750000
48,84,7750000
48,89,7750000
49,18,7750000
49,20,7750000
49,36,7750000
49,37,7750000
49,40,7750000
