x_bin,y_bin,batch_start_t
99,18,10200047
99,19,10200047
80,18,10210000
80,19,10210000
80,20,10210000
81,18,10210000
81,19,10210000
81,20,10210000
82,18,10210000
82,19,10210000
82,20,10210000
83,18,10210000
83,19,10210000
83,20,10210000
84,18,10210000
84,19,10210000
84,20,10210000
85,18,10210000
85,19,10210000
85,20,10210000
86,17,10210000
86,18,10210000
86,19,10210000
86,20,10210000
87,17,10210000
87,18,10210000
87,19,10210000
87,20,10210000
88,17,10210000
88,18,10210000
88,19,10210000
88,20,10210000
89,17,10210000
89,18,10210000
89,19,10210000
89,20,10210000
90,17,10210000
90,18,10210000
90,19,10210000
90,20,10210000
91,17,10210000
91,18,10210000
91,19,10210000
91,20,10210000
92,17,10210000
92,18,10210000
92,19,10210000
92,20,10210000
93,17,10210000
93,18,10210000
93,19,10210000
93,20,10210000
94,17,10210000
94,18,10210000
94,19,10210000
94,20,10210000
95,17,10210000
95,18,10210000
95,19,10210000
95,20,10210000
96,17,10210000
96,18,10210000
96,19,10210000
97,17,10210000
97,18,10210000
97,19,10210000
98,17,10210000
98,18,10210000
98,19,10210000
99,17,10210000
99,18,10210000
99,19,10210000
58,20,10220000
58,21,10220000
59,20,10220000
59,21,10220000
60,19,10220000
60,20,10220000
60,21,10220000
61,19,10220000
61,20,10220000
61,21,10220000
62,19,10220000
62,20,10220000
62,21,10220000
63,19,10220000
63,20,10220000
63,21,10220000
64,19,10220000
64,20,10220000
64,21,10220000
65,19,10220000
65,20,10220000
65,21,10220000
66,19,10220000
66,20,10220000
66,21,10220000
67,19,10220000
67,20,10220000
67,21,10220000
68,18,10220000
68,19,10220000
68,20,10220000
68,21,10220000
69,18,10220000
69,19,10220000
69,20,10220000
69,21,10220000
70,18,10220000
70,19,10220000
70,20,10220000
70,21,10220000
71,18,10220000
71,19,10220000
71,20,10220000
71,21,10220000
72,18,10220000
72,19,10220000
72,20,10220000
72,21,10220000
73,18,10220000
73,19,10220000
73,20,10220000
73,21,10220000
74,18,10220000
74,19,10220000
74,20,10220000
74,21,10220000
75,18,10220000
75,19,10220000
75,20,10220000
75,21,10220000
76,18,10220000
76,19,10220000
76,20,10220000
76,21,10220000
77,18,10220000
77,19,10220000
77,20,10220000
78,18,10220000
78,19,10220000
78,20,10220000
79,18,10220000
79,19,10220000
79,20,10220000
80,18,10220000
80,19,10220000
80,20,10220000
81,18,10220000
82,18,10220000
82,19,10220000
83,18,10220000
84,18,10220000
85,18,10220000
86,18,10220000
87,18,10220000
87,19,10220000
88,18,10220000
38,21,10230000
38,22,10230000
39,21,10230000
39,22,10230000
40,21,10230000
40,22,10230000
41,20,10230000
41,21,10230000
41,22,10230000
42,20,10230000
42,21,10230000
42,22,10230000
43,20,10230000
43,21,10230000
43,22,10230000
44,20,10230000
44,21,10230000
44,22,10230000
45,20,10230000
45,21,10230000
45,22,10230000
46,20,10230000
46,21,10230000
46,22,10230000
47,20,10230000
47,21,10230000
47,22,10230000
48,20,10230000
48,21,10230000
48,22,10230000
49,20,10230000
49,21,10230000
49,22,10230000
50,20,10230000
50,21,10230000
50,22,10230000
51,20,10230000
51,21,10230000
51,22,10230000
52,20,10230000
52,21,10230000
52,22,10230000
53,19,10230000
53,20,10230000
53,21,10230000
53,22,10230000
54,19,10230000
54,20,10230000
54,21,10230000
54,22,10230000
55,19,10230000
55,20,10230000
55,21,10230000
55,22,10230000
56,19,10230000
56,20,10230000
56,21,10230000
56,22,10230000
57,19,10230000
57,20,10230000
57,21,10230000
57,22,10230000
58,19,10230000
58,20,10230000
58,21,10230000
59,19,10230000
59,20,10230000
59,21,10230000
60,19,10230000
60,20,10230000
60,21,10230000
61,19,10230000
61,20,10230000
61,21,10230000
62,19,10230000
62,20,10230000
62,21,10230000
63,19,10230000
63,20,10230000
63,21,10230000
64,19,10230000
64,20,10230000
64,21,10230000
65,19,10230000
65,20,10230000
66,19,10230000
66,20,10230000
66,21,10230000
67,19,10230000
67,20,10230000
18,22,10240000
18,24,10240000
19,22,10240000
19,23,10240000
19,24,10240000
20,22,10240000
20,23,10240000
20,24,10240000
21,22,10240000
21,23,10240000
21,24,10240000
22,22,10240000
22,23,10240000
22,24,10240000
23,21,10240000
23,22,10240000
23,23,10240000
23,24,10240000
24,22,10240000
24,23,10240000
24,24,10240000
25,21,10240000
25,22,10240000
25,23,10240000
25,24,10240000
26,21,10240000
26,22,10240000
26,23,10240000
26,24,10240000
27,21,10240000
27,22,10240000
27,23,10240000
27,24,10240000
28,21,10240000
28,22,10240000
28,23,10240000
28,24,10240000
29,21,10240000
29,22,10240000
29,23,10240000
30,21,10240000
30,22,10240000
30,23,10240000
30,24,10240000
31,21,10240000
31,22,10240000
31,23,10240000
32,21,10240000
32,22,10240000
32,23,10240000
33,21,10240000
33,22,10240000
33,23,10240000
34,21,10240000
34,22,10240000
34,23,10240000
35,21,10240000
35,22,10240000
35,23,10240000
36,21,10240000
36,22,10240000
36,23,10240000
37,20,10240000
37,21,10240000
37,22,10240000
37,23,10240000
38,20,10240000
38,21,10240000
38,22,10240000
38,23,10240000
39,21,10240000
39,22,10240000
40,21,10240000
40,22,10240000
41,20,10240000
41,21,10240000
41,22,10240000
42,20,10240000
42,21,10240000
42,22,10240000
43,20,10240000
43,21,10240000
43,22,10240000
44,20,10240000
44,21,10240000
44,22,10240000
45,20,10240000
45,21,10240000
46,20,10240000
46,21,10240000
46,22,10240000
47,20,10240000
47,21,10240000
0,23,10250000
0,24,10250000
0,25,10250000
1,23,10250000
1,24,10250000
1,25,10250000
2,23,10250000
2,24,10250000
2,25,10250000
3,23,10250000
3,24,10250000
3,25,10250000
4,23,10250000
4,24,10250000
4,25,10250000
5,23,10250000
5,24,10250000
5,25,10250000
6,23,10250000
6,24,10250000
6,25,10250000
7,22,10250000
7,23,10250000
7,24,10250000
7,25,10250000
8,22,10250000
8,23,10250000
8,24,10250000
8,25,10250000
9,22,10250000
