x_bin,y_bin,batch_start_t
9,6,321552
36,27,470067
77,33,1810549
77,34,1810549
3,14,3110013
3,15,3110013
23,3,3350107
24,12,3360011
79,1,4150025
8,0,4210003
8,1,4210003
82,34,4210003
8,5,4220034
8,6,4220034
8,7,4220034
9,8,4220034
9,9,4220034
9,10,4220034
9,11,4230010
9,12,4230010
9,13,4230010
9,14,4230010
9,15,4230010
9,16,4230010
9,19,4240003
97,34,4290032
67,34,4470036
4,0,4700063
5,5,4710203
0,39,4720080
0,40,4720080
1,39,4720080
1,40,4720080
2,39,4720080
3,39,4720080
1,39,4730018
2,39,4730018
3,38,4730018
3,39,4730018
4,38,4730018
4,39,4730018
5,38,4730018
5,39,4730018
6,37,4730018
6,38,4730018
6,39,4730018
7,37,4730018
7,38,4730018
8,37,4730018
8,38,4730018
5,38,4740002
5,39,4740002
6,38,4740002
7,37,4740002
7,38,4740002
8,37,4740002
8,38,4740002
9,37,4740002
9,38,4740002
10,37,4740002
10,38,4740002
11,37,4740002
12,36,4740002
12,37,4740002
13,36,4740002
13,37,4740002
14,36,4740002
14,37,4740002
12,36,4750009
12,37,4750009
13,36,4750009
13,37,4750009
14,36,4750009
14,37,4750009
15,36,4750009
15,37,4750009
16,35,4750009
16,36,4750009
17,35,4750009
17,36,4750009
18,35,4750009
18,36,4750009
19,35,4750009
18,35,4760000
18,36,4760000
19,35,4760000
20,34,4760000
20,35,4760000
21,34,4760000
21,35,4760000
22,34,4760000
22,35,4760000
23,34,4760000
23,35,4760000
24,34,4760000
22,34,4770014
22,35,4770014
23,34,4770014
23,35,4770014
24,33,4770014
24,34,4770014
24,35,4770014
25,33,4770014
25,34,4770014
26,33,4770014
26,34,4770014
27,33,4770014
27,34,4770014
28,32,4770014
28,33,4770014
28,34,4770014
29,32,4770014
29,33,4770014
30,33,4770014
27,33,4780011
27,34,4780011
28,33,4780011
28,34,4780011
29,32,4780011
29,33,4780011
30,32,4780011
30,33,4780011
31,32,4780011
31,33,4780011
32,32,4780011
32,33,4780011
33,31,4780011
33,32,4780011
33,33,4780011
34,31,4780011
34,32,4780011
35,31,4780011
35,32,4780011
32,32,4790005
32,33,4790005
33,31,4790005
33,32,4790005
33,33,4790005
34,31,4790005
34,32,4790005
35,31,4790005
35,32,4790005
36,31,4790005
36,32,4790005
37,30,4790005
37,31,4790005
37,32,4790005
38,30,4790005
38,31,4790005
39,30,4790005
39,31,4790005
40,30,4790005
40,31,4790005
37,31,4800000
38,31,4800000
39,30,4800000
39,31,4800000
40,30,4800000
40,31,4800000
41,30,4800000
41,31,4800000
42,29,4800000
42,30,4800000
42,31,4800000
43,29,4800000
43,30,4800000
43,31,4800000
44,29,4800000
44,30,4800000
45,29,4800000
45,30,4800000
42,30,4810010
43,29,4810010
43,30,4810010
44,29,4810010
44,30,4810010
45,29,4810010
45,30,4810010
46,29,4810010
46,30,4810010
47,28,4810010
47,29,4810010
47,30,4810010
48,28,4810010
48,29,4810010
49,28,4810010
49,29,4810010
50,28,4810010
50,29,4810010
48,29,4820008
49,28,4820008
49,29,4820008
50,28,4820008
50,29,4820008
51,27,4820008
51,28,4820008
