x_bin,y_bin,batch_start_t
99,15,8230085
80,15,8240000
80,16,8240000
81,15,8240000
81,16,8240000
82,15,8240000
82,16,8240000
83,15,8240000
83,16,8240000
84,15,8240000
84,16,8240000
85,15,8240000
85,16,8240000
86,14,8240000
86,15,8240000
86,16,8240000
87,14,8240000
87,15,8240000
87,16,8240000
88,14,8240000
88,15,8240000
88,16,8240000
89,14,8240000
89,15,8240000
89,16,8240000
90,14,8240000
90,15,8240000
90,16,8240000
91,14,8240000
91,15,8240000
91,16,8240000
92,14,8240000
92,15,8240000
92,16,8240000
93,14,8240000
93,15,8240000
93,16,8240000
94,14,8240000
94,15,8240000
94,16,8240000
95,14,8240000
95,15,8240000
95,16,8240000
96,14,8240000
96,15,8240000
96,16,8240000
97,13,8240000
97,14,8240000
97,15,8240000
97,16,8240000
98,14,8240000
98,15,8240000
99,14,8240000
99,15,8240000
60,17,8250000
61,16,8250000
61,17,8250000
62,16,8250000
62,17,8250000
63,16,8250000
63,17,8250000
64,16,8250000
64,17,8250000
65,16,8250000
65,17,8250000
66,15,8250000
66,16,8250000
66,17,8250000
67,15,8250000
67,16,8250000
67,17,8250000
68,15,8250000
68,16,8250000
68,17,8250000
69,15,8250000
69,16,8250000
69,17,8250000
70,15,8250000
70,16,8250000
70,17,8250000
71,15,8250000
71,16,8250000
71,17,8250000
72,15,8250000
72,16,8250000
72,17,8250000
73,15,8250000
73,16,8250000
73,17,8250000
74,15,8250000
74,16,8250000
74,17,8250000
75,15,8250000
75,16,8250000
75,17,8250000
76,15,8250000
76,16,8250000
76,17,8250000
77,15,8250000
77,16,8250000
77,17,8250000
78,15,8250000
78,16,8250000
78,17,8250000
79,15,8250000
79,16,8250000
79,17,8250000
80,15,8250000
80,16,8250000
81,16,8250000
82,15,8250000
82,16,8250000
83,16,8250000
84,16,8250000
87,15,8250000
41,17,8260000
41,18,8260000
42,17,8260000
42,18,8260000
43,17,8260000
43,18,8260000
43,19,8260000
44,17,8260000
44,18,8260000
45,17,8260000
45,18,8260000
45,19,8260000
46,17,8260000
46,18,8260000
46,19,8260000
47,17,8260000
47,18,8260000
47,19,8260000
48,16,8260000
48,17,8260000
48,18,8260000
48,19,8260000
49,16,8260000
49,17,8260000
49,18,8260000
49,19,8260000
50,16,8260000
50,17,8260000
50,18,8260000
50,19,8260000
51,16,8260000
51,17,8260000
51,18,8260000
51,19,8260000
52,16,8260000
