x_bin,y_bin,batch_start_t
99,51,7970022
92,51,7980010
70,50,8000000
71,50,8000000
72,50,8000000
61,50,8010000
62,50,8010000
63,50,8010000
45,50,8020000
51,50,8020000
30,51,8040000
31,50,8040000
32,50,8040000
32,51,8040000
33,50,8040000
33,51,8040000
34,50,8040000
35,50,8040000
23,51,8050000
0,21,8260006
0,22,8260006
0,21,8270002
0,22,8270002
0,23,8270002
1,20,8270002
1,21,8270002
1,22,8270002
2,21,8270002
0,22,8280000
1,21,8280000
1,22,8280000
2,20,8280000
2,21,8280000
2,22,8280000
3,20,8280000
3,21,8280000
3,20,8290002
3,21,8290002
4,19,8290002
4,20,8290002
4,21,8290002
5,19,8290002
5,20,8290002
5,21,8290002
5,19,8300000
5,20,8300000
6,18,8300000
6,19,8300000
6,20,8300000
6,21,8300000
7,18,8300000
7,19,8300000
7,20,8300000
7,18,8310002
7,19,8310002
8,18,8310002
8,19,8310002
9,18,8310002
9,20,8310002
9,18,8320006
10,18,8320006
11,18,8320006
10,18,8330000
11,17,8330000
11,18,8330000
12,17,8330000
12,18,8330000
12,18,8340002
13,17,8340002
13,18,8340002
14,17,8340002
14,18,8340002
14,18,8350007
15,17,8350007
15,18,8350007
16,18,8350007
16,18,8360006
17,18,8360006
17,18,8370002
18,18,8370002
18,19,8370002
19,18,8370002
19,19,8370002
20,18,8380000
20,19,8380000
21,18,8380000
21,19,8380000
24,18,8380000
21,19,8390002
22,19,8390002
22,20,8390002
23,19,8390002
23,20,8390002
23,19,8400002
23,20,8400002
24,19,8400002
24,20,8400002
24,21,8400002
25,20,8400002
25,20,8410000
25,21,8410000
26,20,8410000
26,21,8410000
27,20,8410000
27,21,8410000
28,20,8410000
29,20,8410000
26,21,8420001
27,21,8420001
27,22,8420001
28,20,8420001
28,21,8420001
28,22,8420001
29,20,8420001
29,21,8420001
30,20,8420001
30,21,8420001
31,20,8420001
28,22,8430000
28,23,8430000
29,22,8430000
29,23,8430000
30,21,8430000
30,22,8430000
30,23,8430000
30,24,8430000
31,21,8430000
31,22,8430000
32,21,8430000
30,23,8440000
30,24,8440000
31,23,8440000
31,24,8440000
32,22,8440000
32,23,8440000
32,24,8440000
33,21,8440000
33,22,8440000
33,23,8440000
34,21,8440000
34,22,8440000
32,24,8450000
32,25,8450000
33,24,8450000
33,25,8450000
33,26,8450000
34,22,8450000
34,23,8450000
34,24,8450000
35,22,8450000
35,23,8450000
35,24,8460003
35,27,8460003
36,23,8460003
36,24,8460003
38,30,8480000
40,32,8490003
41,31,8500009
41,32,8500009
41,33,8500009
41,34,8500009
42,32,8500009
42,33,8500009
42,34,8500009
42,35,8500009
42,31,8510000
42,32,8510000
42,33,8510000
42,34,8510000
42,35,8510000
43,31,8510000
43,32,8510000
43,33,8510000
43,34,8510000
43,35,8510000
43,36,8510000
44,36,8510000
44,37,8510000
43,31,8520000
44,33,8520000
44,35,8520000
44,36,8520000
44,37,8520000
44,38,8520000
45,36,8520000
45,37,8520000
45,38,8520000
46,39,8530005
53,49,8570002
56,58,8610005
57,58,8610005
57,59,8610005
58,62,8620004
61,68,8640004
61,69,8640004
62,69,8640004
63,69,8640004
63,70,8640004
64,70,8640004
63,72,8650000
64,72,8650000
64,73,8650000
65,73,8650000
64,74,8660002
64,75,8660002
65,75,8660002
65,76,8660002
66,76,8660002
68,77,8660002
66,78,8670002
68,82,8680000
69,83,8680000
