x_bin,y_bin,batch_start_t
0,70,73010372
0,71,73010372
1,70,73010372
1,71,73010372
2,71,73010372
3,71,73010372
3,71,73020006
4,71,73020006
4,72,73020006
5,71,73020006
5,72,73020006
6,72,73020006
7,72,73020006
7,73,73020006
8,73,73020006
9,73,73030000
10,73,73030000
10,74,73030000
11,73,73030000
11,74,73030000
12,74,73030000
13,74,73030000
12,74,73040004
13,74,73040004
14,74,73040004
14,75,73040004
15,74,73040004
15,75,73040004
16,75,73040004
17,75,73040004
17,76,73040004
18,76,73040004
19,76,73050015
20,76,73050015
20,77,73050015
23,78,73060017
24,78,73060017
25,78,73060017
26,79,73060017
27,79,73060017
28,79,73070014
29,80,73070014
30,80,73070014
31,80,73070014
32,81,73070014
33,81,73080008
34,81,73080008
34,82,73080008
35,82,73080008
36,82,73080008
38,83,73090026
39,83,73090026
41,84,73090026
42,84,73100024
43,85,73100024
44,85,73100024
45,86,73100024
46,86,73100024
47,86,73110055
47,87,73110055
48,87,73110055
49,87,73110055
51,88,73120024
52,88,73120024
53,89,73120024
54,89,73120024
56,90,73130019
57,91,73130019
58,91,73130019
60,92,73140084
61,92,73140084
62,93,73140084
63,93,73140084
66,95,73150002
67,95,73150002
70,96,73160006
71,97,73160006
0,33,76440001
0,33,76450005
1,33,76450005
1,34,76450005
2,33,76450005
2,34,76450005
3,33,76450005
3,34,76450005
4,33,76450005
4,34,76450005
2,33,76460000
3,33,76460000
3,34,76460000
4,34,76460000
5,34,76460000
6,34,76460000
7,34,76460000
8,34,76460000
8,35,76460000
9,34,76460000
7,34,76470010
8,34,76470010
9,34,76470010
9,35,76470010
10,34,76470010
10,35,76470010
11,35,76470010
12,35,76470010
13,35,76470010
11,35,76480010
12,35,76480010
13,35,76480010
14,35,76480010
14,36,76480010
15,35,76480010
15,36,76480010
16,35,76480010
16,36,76480010
17,36,76480010
18,36,76480010
16,36,76490009
17,36,76490009
18,36,76490009
19,36,76490009
20,36,76490009
21,36,76490009
21,37,76490009
22,37,76490009
20,36,76500023
21,37,76500023
22,37,76500023
23,37,76500023
24,37,76500023
25,37,76500023
25,38,76500023
26,37,76500023
26,38,76500023
25,37,76510001
25,38,76510001
26,37,76510001
26,38,76510001
27,37,76510001
27,38,76510001
28,37,76510001
28,38,76510001
29,38,76510001
30,38,76510001
30,39,76510001
29,38,76520036
30,38,76520036
30,39,76520036
31,38,76520036
31,39,76520036
32,39,76520036
33,39,76520036
34,39,76520036
35,39,76520036
33,39,76530006
34,40,76530006
35,39,76530006
35,40,76530006
36,39,76530006
36,40,76530006
37,39,76530006
37,40,76530006
38,40,76530006
39,40,76530006
37,40,76540014
38,40,76540014
39,40,76540014
40,40,76540014
40,41,76540014
41,40,76540014
41,41,76540014
42,41,76540014
43,41,76540014
41,41,76550044
42,41,76550044
43,41,76550044
43,42,76550044
44,41,76550044
44,42,76550044
45,41,76550044
45,42,76550044
48,42,76560007
48,43,76560007
49,42,76560007
49,43,76560007
50,42,76560007
50,43,76560007
51,43,76560007
50,43,76570006
51,43,76570006
52,43,76570006
52,44,76570006
53,43,76570006
53,44,76570006
54,43,76570006
54,44,76570006
55,44,76570006
56,44,76570006
54,44,76580003
55,44,76580003
56,44,76580003
57,44,76580003
58,44,76580003
58,45,76580003
59,45,76580003
59,45,76590012
60,45,76590012
61,45,76590012
61,46,76590012
62,45,76590012
62,46,76590012
63,45,76590012
63,46,76590012
64,46,76590012
62,46,76600012
63,46,76600012
64,46,76600012
65,46,76600012
66,46,76600012
66,47,76600012
67,46,76600012
67,47,76600012
68,47,76600012
67,47,76610009
68,47,76610009
69,47,76610009
69,48,76610009
70,47,76610009
70,48,76610009
71,47,76610009
71,48,76610009
72,48,76610009
70,48,76620000
71,48,76620000
72,48,76620000
73,48,76620000
73,49,76620000
74,48,76620000
74,49,76620000
75,48,76620000
75,49,76620000
76,49,76620000
74,49,76630002
75,49,76630002
76,49,76630002
77,49,76630002
78,49,76630002
78,50,76630002
79,49,76630002
79,50,76630002
80,50,76630002
80,50,76640027
81,50,76640027
81,51,76640027
82,50,76640027
82,51,76640027
83,50,76640027
83,51,76640027
84,51,76640027
82,51,76650003
83,51,76650003
84,51,76650003
85,51,76650003
85,52,76650003
86,51,76650003
86,52,76650003
87,51,76650003
87,52,76650003
88,52,76650003
87,52,76660002
88,52,76660002
89,52,76660002
89,53,76660002
90,52,76660002
90,53,76660002
91,53,76660002
92,53,76660002
91,53,76670004
92,53,76670004
93,53,76670004
93,54,76670004
94,53,76670004
94,54,76670004
95,54,76670004
96,54,76670004
