x_bin,y_bin,batch_start_t
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
27,0,251575
73,27,251575
80,27,251575
50,26,268408
67,27,277016
59,24,313045
59,27,313045
85,27,333239
70,27,350758
79,27,401851
79,29,401851
92,28,501297
44,42,522416
87,26,572255
87,31,583796
87,27,595295
87,27,602836
73,26,694258
73,27,694258
44,41,717964
44,41,725715
56,27,725715
56,27,743418
93,27,787573
86,26,804907
86,27,804907
86,27,811092
99,16,919710
80,27,927254
80,27,932268
80,27,940044
80,29,940044
19,23,989810
76,25,1026541
77,27,1026541
68,26,1040273
67,26,1052821
67,27,1052821
84,27,1052821
75,27,1074722
98,27,1113755
79,27,1153080
34,33,1195851
68,27,1195851
53,26,1201984
53,27,1201984
72,27,1212880
66,27,1220964
84,26,1239639
84,26,1240716
84,27,1240716
84,28,1240716
73,27,1278137
62,27,1337171
2,32,1441163
43,6,1468611
64,26,1471251
64,27,1471251
93,27,1471251
46,16,1480639
64,27,1480639
65,26,1480639
65,27,1480639
84,26,1480639
99,16,1550760
92,27,1568023
92,28,1568023
67,27,1598078
48,29,1608065
89,27,1620942
89,27,1638264
73,26,1704095
91,27,1704095
11,56,1720770
78,27,1730849
9,56,1748552
8,56,1751102
9,56,1751102
34,58,1751102
87,26,1751102
87,27,1751102
87,28,1751102
92,27,1769502
16,56,1776796
68,57,1776796
18,24,1785104
85,27,1785104
8,56,1790106
85,27,1790106
90,28,1790106
87,27,1821209
43,6,1842991
60,24,1868282
60,26,1871382
94,27,1871382
89,28,1982243
68,27,1994161
98,26,2042634
98,27,2042634
73,83,2059705
66,27,2061678
73,83,2061678
96,27,2133029
96,28,2133029
41,17,2217334
56,26,2283270
59,17,2298361
61,27,2327260
0,13,2330228
1,13,2330228
2,13,2330228
3,13,2330228
61,27,2330228
94,27,2341686
82,27,2357094
41,41,2375786
96,26,2453584
97,28,2453584
73,26,2534823
74,27,2534823
77,27,2550454
77,28,2550454
96,27,2596621
81,27,2630897
91,27,2648042
91,27,2650338
91,28,2650338
44,41,2691377
44,42,2691377
96,51,2793188
94,27,2803467
50,26,2811381
50,27,2811381
89,27,2811381
89,28,2811381
50,26,2837987
65,26,2845231
65,27,2845231
73,83,2923877
41,41,2966682
64,26,2986587
64,26,2991343
93,27,3130876
87,26,3147112
87,27,3147112
43,41,3162457
85,27,3197712
88,28,3197712
57,26,3268629
43,6,3313587
73,83,3335439
90,27,3335439
90,27,3344060
95,27,3363943
65,26,3377752
41,17,3459686
87,26,3660674
87,27,3660674
91,27,3660674
91,28,3660674
87,26,3670083
87,27,3670083
87,28,3670083
46,16,3731635
88,26,3731635
88,27,3731635
88,28,3731635
84,26,3847635
73,83,3864198
89,27,3894051
95,27,3922150
3,28,3988666
43,41,4042036
41,17,4072251
43,6,4072251
86,27,4101378
11,51,4181535
70,27,4221897
87,27,4326642
58,26,4369657
58,27,4369657
58,26,4372548
58,27,4372548
88,26,4396806
88,27,4396806
95,27,4406888
85,27,4413388
98,27,4438615
81,27,4441015
66,26,4455255
66,27,4455255
84,27,4455255
66,26,4460426
66,27,4460426
94,27,4487106
44,41,4498927
71,27,4537801
76,26,4691055
76,27,4691055
57,26,4790301
86,27,4790301
94,27,4790301
99,27,4848844
73,83,4872198
87,27,4872198
81,27,4924797
88,27,4951224
99,27,4976672
99,28,4976672
99,27,5002780
90,27,5112583
8,33,5127292
74,26,5168623
74,27,5170776
89,27,5188320
50,26,5223940
87,27,5255451
93,27,5263170
69,26,5288328
91,27,5309360
91,27,5311431
73,26,5387636
63,26,5438965
97,26,5469869
97,26,5470816
97,27,5470816
97,30,5470816
82,27,5524504
87,26,5524504
99,27,5533112
74,27,5547241
71,27,5573727
52,26,5584869
84,27,5669285
98,27,5678892
53,26,5681084
70,27,5752339
89,27,5790313
92,27,5819110
22,22,5844661
72,27,5851947
57,26,5938442
88,27,5963497
58,27,5971012
65,26,6038956
59,26,6047654
68,27,6061047
41,17,6083272
86,26,6090512
87,27,6090512
96,27,6113922
96,27,6132728
81,27,6141151
81,29,6141151
75,27,6236054
86,27,6236054
67,27,6282006
34,24,6295253
68,26,6397864
69,26,6413902
69,27,6413902
43,41,6462235
44,41,6462235
80,27,6462235
44,41,6470716
84,27,6495771
84,27,6516323
76,26,6522819
77,27,6522819
77,28,6522819
77,28,6531893
73,83,6558518
73,83,6565791
75,26,6600018
75,27,6600018
57,23,6627562
65,26,6627562
58,25,6632518
58,26,6632518
66,27,6632518
82,27,6632518
83,27,6632518
58,26,6640254
83,27,6640254
84,36,6666780
41,40,6672282
83,27,6693549
83,28,6693549
77,27,6723592
87,27,6740000
76,25,6833567
76,26,6833567
76,27,6833567
77,28,6833567
69,26,6843512
77,28,6843512
78,34,6851923
62,27,6866383
65,27,6894000
86,27,6900609
86,26,6915038
79,26,6944445
42,41,6953528
79,29,6953528
83,27,6965013
84,27,6965013
96,27,6965013
90,27,6974916
74,27,7005258
83,26,7005258
83,27,7005258
83,26,7010683
83,27,7010683
87,26,7010683
87,27,7010683
92,27,7051799
31,28,7079417
31,29,7079417
73,83,7168615
52,26,7179611
43,6,7193595
88,26,7193595
88,27,7193595
88,25,7200964
66,26,7214883
91,27,7233586
86,27,7263759
80,26,7278490
80,27,7278490
80,27,7282167
57,26,7340740
50,26,7352127
73,83,7352127
50,26,7385032
50,26,7390008
93,27,7429888
93,27,7436706
68,26,7458021
69,26,7458021
69,27,7458021
57,26,7473935
92,27,7473935
92,27,7480463
56,26,7510529
60,26,7510529
50,26,7544140
90,26,7598289
92,27,7598289
90,27,7600692
92,27,7600692
81,26,7646644
82,27,7646644
93,26,7646644
93,27,7646644
81,26,7652066
82,27,7652066
94,31,7664725
94,26,7678431
94,27,7680860
64,26,7690054
64,27,7690054
72,26,7690054
72,27,7690054
92,26,7690054
3,28,7702131
93,27,7711685
