x_bin,y_bin,batch_start_t
0,0,4800055
0,1,4800055
0,2,4800055
0,3,4800055
0,4,4800055
0,5,4800055
1,0,4800055
1,1,4800055
1,2,4800055
1,3,4800055
1,4,4800055
2,0,4800055
2,1,4800055
2,2,4800055
2,3,4800055
2,4,4800055
3,0,4800055
3,1,4800055
3,2,4800055
3,3,4800055
3,4,4800055
4,1,4800055
4,2,4800055
4,3,4800055
4,4,4800055
5,0,4800055
5,1,4800055
5,2,4800055
5,3,4800055
5,4,4800055
6,0,4800055
6,1,4800055
6,2,4800055
6,3,4800055
7,0,4800055
7,1,4800055
7,2,4800055
7,3,4800055
8,1,4800055
8,2,4800055
8,3,4800055
9,1,4800055
9,2,4800055
9,3,4800055
10,1,4800055
10,2,4800055
10,3,4800055
11,1,4800055
11,2,4800055
0,1,4810000
0,2,4810000
0,3,4810000
0,4,4810000
0,5,4810000
0,6,4810000
1,1,4810000
1,2,4810000
1,3,4810000
1,4,4810000
1,5,4810000
2,1,4810000
2,2,4810000
2,3,4810000
2,4,4810000
2,5,4810000
2,6,4810000
3,1,4810000
3,2,4810000
3,3,4810000
3,4,4810000
3,5,4810000
4,0,4810000
4,1,4810000
4,2,4810000
4,3,4810000
4,4,4810000
4,5,4810000
5,0,4810000
5,1,4810000
5,2,4810000
5,3,4810000
5,4,4810000
5,5,4810000
5,6,4810000
6,0,4810000
6,1,4810000
6,2,4810000
6,3,4810000
6,4,4810000
6,5,4810000
7,0,4810000
7,1,4810000
7,2,4810000
7,3,4810000
7,4,4810000
7,5,4810000
8,0,4810000
8,1,4810000
8,2,4810000
8,3,4810000
8,4,4810000
8,5,4810000
9,0,4810000
9,1,4810000
9,2,4810000
9,3,4810000
9,4,4810000
9,5,4810000
10,0,4810000
10,1,4810000
10,2,4810000
10,3,4810000
10,4,4810000
10,5,4810000
11,0,4810000
11,1,4810000
11,2,4810000
11,3,4810000
11,4,4810000
11,5,4810000
12,0,4810000
12,1,4810000
12,2,4810000
12,3,4810000
12,4,4810000
12,5,4810000
13,0,4810000
13,1,4810000
13,2,4810000
13,3,4810000
13,4,4810000
13,5,4810000
14,0,4810000
14,1,4810000
14,2,4810000
14,3,4810000
14,4,4810000
14,5,4810000
15,0,4810000
15,1,4810000
15,2,4810000
15,3,4810000
15,4,4810000
15,5,4810000
16,0,4810000
16,1,4810000
16,2,4810000
16,3,4810000
16,4,4810000
16,5,4810000
17,0,4810000
17,1,4810000
17,2,4810000
17,3,4810000
17,4,4810000
17,5,4810000
18,0,4810000
18,1,4810000
18,2,4810000
18,3,4810000
18,4,4810000
18,5,4810000
19,0,4810000
19,1,4810000
19,2,4810000
19,3,4810000
19,4,4810000
19,5,4810000
20,0,4810000
20,1,4810000
20,2,4810000
20,3,4810000
20,4,4810000
20,5,4810000
21,0,4810000
21,1,4810000
21,2,4810000
21,3,4810000
21,4,4810000
21,5,4810000
22,0,4810000
22,1,4810000
22,2,4810000
22,3,4810000
22,4,4810000
22,5,4810000
23,0,4810000
23,1,4810000
23,2,4810000
23,3,4810000
23,4,4810000
23,5,4810000
24,0,4810000
24,1,4810000
24,2,4810000
24,3,4810000
24,4,4810000
24,5,4810000
25,0,4810000
25,1,4810000
25,2,4810000
25,3,4810000
25,4,4810000
25,5,4810000
26,0,4810000
26,1,4810000
26,2,4810000
26,3,4810000
26,4,4810000
26,5,4810000
27,0,4810000
27,1,4810000
27,2,4810000
27,3,4810000
27,4,4810000
27,5,4810000
28,0,4810000
28,1,4810000
28,2,4810000
28,3,4810000
28,4,4810000
28,5,4810000
29,0,4810000
29,1,4810000
29,2,4810000
29,3,4810000
29,4,4810000
29,5,4810000
30,0,4810000
30,1,4810000
30,2,4810000
30,3,4810000
30,4,4810000
30,5,4810000
31,0,4810000
31,1,4810000
31,2,4810000
31,3,4810000
31,4,4810000
31,5,4810000
32,0,4810000
32,1,4810000
32,2,4810000
32,3,4810000
32,4,4810000
32,5,4810000
33,0,4810000
33,1,4810000
33,2,4810000
33,3,4810000
33,4,4810000
33,5,4810000
34,0,4810000
34,1,4810000
34,2,4810000
34,3,4810000
34,4,4810000
34,5,4810000
35,0,4810000
35,1,4810000
35,2,4810000
35,3,4810000
35,4,4810000
35,5,4810000
36,0,4810000
36,1,4810000
36,2,4810000
36,3,4810000
36,4,4810000
36,5,4810000
37,0,4810000
37,1,4810000
37,2,4810000
37,3,4810000
37,4,4810000
38,0,4810000
38,1,4810000
38,2,4810000
38,3,4810000
38,4,4810000
39,0,4810000
39,1,4810000
39,2,4810000
39,3,4810000
39,4,4810000
40,0,4810000
40,1,4810000
40,2,4810000
40,3,4810000
40,4,4810000
41,0,4810000
41,1,4810000
41,2,4810000
41,3,4810000
41,4,4810000
42,1,4810000
42,2,4810000
42,3,4810000
43,1,4810000
43,2,4810000
43,3,4810000
44,1,4810000
44,2,4810000
44,3,4810000
45,1,4810000
45,2,4810000
45,3,4810000
46,1,4810000
46,2,4810000
46,3,4810000
47,1,4810000
47,2,4810000
48,1,4810000
48,2,4810000
